job_id,job_size,fcfs_completions,rmlf_completions,fcfs_percentage,rmlf_percentage
603,23.0,17,6,73.9,26.1
604,34.0,28,6,82.4,17.6
605,17.0,11,6,64.7,35.3
606,37.0,31,6,83.8,16.2
607,25.0,19,6,76.0,24.0
608,17.0,11,6,64.7,35.3
609,40.0,34,6,85.0,15.0
610,28.0,22,6,78.6,21.4
611,45.0,39,6,86.7,13.3
612,27.0,21,6,77.8,22.2
613,27.0,21,6,77.8,22.2
614,20.0,14,6,70.0,30.0
615,36.0,30,6,83.3,16.7
616,23.0,17,6,73.9,26.1
617,18.0,12,6,66.7,33.3
618,27.0,21,6,77.8,22.2
619,27.0,21,6,77.8,22.2
620,21.0,15,6,71.4,28.6
621,37.0,31,6,83.8,16.2
622,17.0,11,6,64.7,35.3
623,20.0,14,6,70.0,30.0
624,19.0,13,6,68.4,31.6
625,17.0,11,6,64.7,35.3
626,19.0,13,6,68.4,31.6
627,19.0,13,6,68.4,31.6
628,43.0,37,6,86.0,14.0
629,50.0,44,6,88.0,12.0
630,35.0,29,6,82.9,17.1
631,20.0,14,6,70.0,30.0
632,38.0,32,6,84.2,15.8
633,17.0,11,6,64.7,35.3
634,31.0,25,6,80.6,19.4
635,36.0,30,6,83.3,16.7
636,17.0,11,6,64.7,35.3
637,21.0,15,6,71.4,28.6
638,24.0,18,6,75.0,25.0
639,18.0,12,6,66.7,33.3
640,30.0,24,6,80.0,20.0
641,24.0,18,6,75.0,25.0
642,21.0,15,6,71.4,28.6
643,23.0,17,6,73.9,26.1
644,20.0,14,6,70.0,30.0
645,29.0,23,6,79.3,20.7
646,29.0,23,6,79.3,20.7
647,17.0,11,6,64.7,35.3
648,19.0,13,6,68.4,31.6
649,18.0,12,6,66.7,33.3
650,61.0,55,6,90.2,9.8
651,21.0,15,6,71.4,28.6
652,36.0,30,6,83.3,16.7
653,59.0,53,6,89.8,10.2
654,24.0,18,6,75.0,25.0
655,19.0,13,6,68.4,31.6
656,18.0,12,6,66.7,33.3
657,17.0,11,6,64.7,35.3
658,52.0,46,6,88.5,11.5
659,21.0,15,6,71.4,28.6
660,21.0,15,6,71.4,28.6
661,17.0,11,6,64.7,35.3
662,17.0,11,6,64.7,35.3
663,46.0,40,6,87.0,13.0
664,50.0,44,6,88.0,12.0
665,46.0,40,6,87.0,13.0
666,29.0,23,6,79.3,20.7
667,22.0,16,6,72.7,27.3
668,18.0,12,6,66.7,33.3
669,21.0,15,6,71.4,28.6
670,25.0,19,6,76.0,24.0
671,50.0,44,6,88.0,12.0
672,34.0,28,6,82.4,17.6
673,36.0,30,6,83.3,16.7
674,41.0,35,6,85.4,14.6
675,18.0,12,6,66.7,33.3
676,18.0,12,6,66.7,33.3
677,20.0,14,6,70.0,30.0
678,17.0,11,6,64.7,35.3
679,18.0,12,6,66.7,33.3
680,19.0,13,6,68.4,31.6
681,38.0,32,6,84.2,15.8
682,17.0,11,6,64.7,35.3
683,27.0,21,6,77.8,22.2
684,17.0,11,6,64.7,35.3
685,38.0,32,6,84.2,15.8
686,18.0,12,6,66.7,33.3
687,27.0,21,6,77.8,22.2
688,19.0,13,6,68.4,31.6
689,58.0,52,6,89.7,10.3
690,19.0,13,6,68.4,31.6
691,24.0,18,6,75.0,25.0
692,20.0,14,6,70.0,30.0
693,32.0,26,6,81.2,18.8
694,53.0,47,6,88.7,11.3
695,17.0,11,6,64.7,35.3
696,41.0,35,6,85.4,14.6
697,41.0,35,6,85.4,14.6
698,37.0,31,6,83.8,16.2
699,34.0,28,6,82.4,17.6
700,49.0,43,6,87.8,12.2
701,44.0,38,6,86.4,13.6
702,33.0,27,6,81.8,18.2
703,54.0,48,6,88.9,11.1
704,27.0,21,6,77.8,22.2
705,24.0,18,6,75.0,25.0
706,29.0,23,6,79.3,20.7
707,23.0,17,6,73.9,26.1
708,18.0,12,6,66.7,33.3
709,31.0,25,6,80.6,19.4
710,31.0,25,6,80.6,19.4
711,29.0,23,6,79.3,20.7
712,21.0,15,6,71.4,28.6
713,62.0,56,6,90.3,9.7
714,51.0,45,6,88.2,11.8
715,42.0,36,6,85.7,14.3
716,26.0,20,6,76.9,23.1
717,40.0,34,6,85.0,15.0
718,20.0,14,6,70.0,30.0
719,25.0,19,6,76.0,24.0
720,32.0,26,6,81.2,18.8
721,56.0,50,6,89.3,10.7
722,23.0,17,6,73.9,26.1
723,28.0,22,6,78.6,21.4
724,40.0,34,6,85.0,15.0
725,42.0,36,6,85.7,14.3
726,43.0,37,6,86.0,14.0
727,20.0,14,6,70.0,30.0
728,20.0,14,6,70.0,30.0
729,29.0,23,6,79.3,20.7
730,24.0,18,6,75.0,25.0
731,26.0,20,6,76.9,23.1
732,17.0,11,6,64.7,35.3
733,24.0,18,6,75.0,25.0
734,17.0,11,6,64.7,35.3
735,18.0,12,6,66.7,33.3
736,22.0,16,6,72.7,27.3
737,23.0,17,6,73.9,26.1
738,29.0,23,6,79.3,20.7
739,36.0,30,6,83.3,16.7
740,45.0,39,6,86.7,13.3
741,17.0,11,6,64.7,35.3
742,56.0,50,6,89.3,10.7
743,37.0,31,6,83.8,16.2
744,27.0,21,6,77.8,22.2
745,29.0,23,6,79.3,20.7
746,27.0,21,6,77.8,22.2
747,37.0,31,6,83.8,16.2
748,61.0,55,6,90.2,9.8
749,29.0,23,6,79.3,20.7
750,24.0,18,6,75.0,25.0
751,18.0,12,6,66.7,33.3
752,22.0,16,6,72.7,27.3
753,20.0,14,6,70.0,30.0
754,35.0,29,6,82.9,17.1
755,29.0,23,6,79.3,20.7
756,17.0,11,6,64.7,35.3
757,46.0,40,6,87.0,13.0
758,23.0,17,6,73.9,26.1
759,35.0,29,6,82.9,17.1
760,36.0,30,6,83.3,16.7
761,23.0,17,6,73.9,26.1
762,24.0,18,6,75.0,25.0
